author,page_url,quote,tags,tags_url
Pablo Neruda,https://quotes.toscrape.com/page/3/,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”","love,poetry","/tag/love/page/1/,/tag/poetry/page/1/"
Ralph Waldo Emerson,https://quotes.toscrape.com/page/3/,“For every minute you are angry you lose sixty seconds of happiness.”,happiness,/tag/happiness/page/1/
Mother Teresa,https://quotes.toscrape.com/page/3/,"“If you judge people, you have no time to love them.”",attributed-no-source,/tag/attributed-no-source/page/1/
Garrison Keillor,https://quotes.toscrape.com/page/3/,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,"humor,religion","/tag/humor/page/1/,/tag/religion/page/1/"
Jim Henson,https://quotes.toscrape.com/page/3/,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,humor,/tag/humor/page/1/
Dr. Seuss,https://quotes.toscrape.com/page/3/,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”","comedy,life,yourself","/tag/comedy/page/1/,/tag/life/page/1/,/tag/yourself/page/1/"
Albert Einstein,https://quotes.toscrape.com/page/3/,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”","children,fairy-tales","/tag/children/page/1/,/tag/fairy-tales/page/1/"
J.K. Rowling,https://quotes.toscrape.com/page/3/,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",,
Alfred Tennyson,https://quotes.toscrape.com/page/8/,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,"friendship,love","/tag/friendship/page/1/,/tag/love/page/1/"
Charles Bukowski,https://quotes.toscrape.com/page/8/,“Some people never go crazy. What truly horrible lives they must lead.”,humor,/tag/humor/page/1/
Terry Pratchett,https://quotes.toscrape.com/page/8/,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","humor,open-mind,thinking","/tag/humor/page/1/,/tag/open-mind/page/1/,/tag/thinking/page/1/"
Albert Einstein,https://quotes.toscrape.com/page/3/,“Logic will get you from A to Z; imagination will get you everywhere.”,imagination,/tag/imagination/page/1/
Bob Marley,https://quotes.toscrape.com/page/3/,"“One good thing about music, when it hits you, you feel no pain.”",music,/tag/music/page/1/
Dr. Seuss,https://quotes.toscrape.com/page/4/,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”","learning,reading,seuss","/tag/learning/page/1/,/tag/reading/page/1/,/tag/seuss/page/1/"
